Inserting 1-100 Randomly:
Number	Depth
28      1
12      5
89      4
36      3
87      2
91      5
47      4
43      2
88      5
11      2
50      3
62      0
80      4
78      1
60      5
93      3
3       5
35      6
57      4
37      6
32      4
0       5
77      5
84      4
97      4
14      4
45      5
5       3
94      6
8       4
69      5
73      3
48      5
66      3
82      3
10      5
7       5
64      4
46      6
38      5
25      5
49      6
17      3
65      5
79      5
71      4
22      4
42      6
99      5
6       6
92      6
70      2
34      5
26      6
74      5
55      6
83      5
53      6
15      5
31      6
58      6
76      4
33      6
85      5
41      5
72      5
20      6
75      6
61      6
44      6
2       4
81      5
59      7
29      6
18      6
100     6
67      5
1       6
39      4
40      6
68      4
30      5
54      5
86      6
23      6
13      6
24      7
4       6
63      5
56      7
19      5
96      6
9       6
95      5
27      7
90      6
16      6
21      7
52      7
98      6
