Inserting 1-100 Randomly:
Number	Depth
60      12
52      7
81      7
64      9
23      12
95      7
59      9
49      9
92      7
13      9
88      14
78      10
34      11
33      5
94      7
91      6
37      10
29      7
100     9
36      8
22      7
14      3
99      8
87      11
40      8
28      6
2       8
93      12
58      9
50      6
86      6
35      8
77      8
38      9
61      8
8       12
41      8
7       6
32      8
20      9
0       4
65      11
73      8
6       7
97      9
89      9
48      15
31      7
1       5
72      9
63      8
45      10
68      8
70      4
67      5
55      14
69      5
51      5
5       9
17      12
27      7
74      10
39      9
11      12
43      8
47      6
46      3
57      11
54      8
24      11
71      7
56      5
42      8
10      6
75      7
53      10
18      7
98      7
66      11
21      8
82      10
83      4
76      5
44      8
4       10
62      12
79      8
84      4
9       10
30      9
3       4
90      12
85      5
96      7
15      12
16      4
19      8
25      6
80      8
12      8
