Inserting 1-100 Randomly:
Number	Depth
14      0
98      1
71      2
37      3
84      3
93      4
72      4
41      4
50      5
85      5
8       1
13      2
52      6
62      7
28      4
5       2
19      5
73      5
75      6
3       3
46      6
25      6
48      7
4       4
79      7
0       4
70      8
15      6
60      8
10      3
83      8
17      7
22      7
39      5
68      9
29      5
64      10
36      6
20      8
66      11
21      9
43      7
31      7
49      8
24      8
2       5
32      8
59      9
77      8
65      12
88      6
26      7
80      9
51      7
76      9
55      10
30      8
100     2
27      8
42      8
94      5
54      11
78      9
9       4
7       3
6       4
38      6
18      8
82      10
86      7
45      8
89      7
47      8
35      9
67      12
57      11
74      7
99      3
33      10
97      6
34      11
56      12
61      9
69      10
87      8
11      4
44      9
23      9
92      8
81      11
16      8
95      7
63      11
91      9
58      12
96      8
90      10
40      6
12      5
1       6
