Inserting Teams:
Team ID		Depth
ARI2012         4
ATL2012         3
BAL2012         4
BOS2012         2
CHC2012         5
CHW2012         1
CIN2012         3
CLE2012         2
COL2012         4
DET2012         3
HOU2012         8
KCR2012         6
LAA2012         3
LAD2012         4
MIA2012         10
MIL2012         2
MIN2012         4
NYM2012         4
NYY2012         5
OAK2012         1
PHI2012         4
PIT2012         3
SDP2012         4
SEA2012         2
SFG2012         4
STL2012         3
TBR2012         6
TEX2012         4
TOR2012         6
WSN2012         10
ARI2011         8
ATL2011         9
BAL2011         9
BOS2011         9
CHC2011         9
CHW2011         9
CIN2011         8
CLE2011         8
COL2011         8
DET2011         9
FLA2011         4
HOU2011         0
KCR2011         9
LAA2011         9
LAD2011         9
MIL2011         9
MIN2011         9
NYM2011         9
NYY2011         10
OAK2011         10
PHI2011         9
PIT2011         9
SDP2011         9
SEA2011         9
SFG2011         9
STL2011         9
TBR2011         10
TEX2011         10
TOR2011         10
WSN2011         9
ARI2010         7
ATL2010         8
BAL2010         8
BOS2010         8
CHC2010         8
CHW2010         8
CIN2010         7
CLE2010         7
COL2010         7
DET2010         8
FLA2010         8
HOU2010         9
KCR2010         8
LAA2010         8
LAD2010         8
MIL2010         8
MIN2010         8
NYM2010         8
NYY2010         9
OAK2010         9
PHI2010         8
PIT2010         8
SDP2010         8
SEA2010         8
SFG2010         8
STL2010         8
TBR2010         9
TEX2010         9
TOR2010         9
WSN2010         10
ARI2009         8
ATL2009         9
BAL2009         9
BOS2009         9
CHC2009         9
CHW2009         9
CIN2009         8
CLE2009         8
COL2009         8
DET2009         9
FLA2009         7
HOU2009         8
KCR2009         9
LAA2009         9
LAD2009         9
MIL2009         9
MIN2009         9
NYM2009         9
NYY2009         10
OAK2009         10
PHI2009         9
PIT2009         9
SDP2009         9
SEA2009         9
SFG2009         9
STL2009         9
TBR2009         10
TEX2009         10
TOR2009         10
WSN2009         8
ARI2008         6
ATL2008         7
BAL2008         7
BOS2008         7
CHC2008         7
CHW2008         7
CIN2008         6
CLE2008         6
COL2008         6
DET2008         7
FLA2008         8
HOU2008         9
KCR2008         7
LAA2008         7
LAD2008         7
MIL2008         7
MIN2008         7
NYM2008         7
NYY2008         8
OAK2008         8
PHI2008         7
PIT2008         7
SDP2008         7
SEA2008         7
SFG2008         7
STL2008         7
TBR2008         8
TEX2008         8
TOR2008         8
WSN2008         10
ARI2007         8
ATL2007         9
BAL2007         9
BOS2007         9
CHC2007         9
CHW2007         9
CIN2007         8
CLE2007         8
COL2007         8
DET2007         9
FLA2007         6
HOU2007         7
KCR2007         9
LAA2007         10
LAD2007         9
MIL2007         9
MIN2007         9
NYM2007         9
NYY2007         10
OAK2007         10
PHI2007         9
PIT2007         9
SDP2007         9
SEA2007         9
SFG2007         9
STL2007         9
TBD2007         10
TEX2007         10
TOR2007         10
WSN2007         9
ARI2006         7
ATL2006         8
BAL2006         8
BOS2006         8
CHC2006         8
CHW2006         8
CIN2006         7
CLE2006         7
COL2006         7
DET2006         8
FLA2006         8
HOU2006         9
KCR2006         8
LAA2006         9
LAD2006         8
MIL2006         8
MIN2006         8
NYM2006         8
NYY2006         9
OAK2006         9
PHI2006         8
PIT2006         8
SDP2006         8
SEA2006         8
SFG2006         8
STL2006         8
TBD2006         9
TEX2006         9
TOR2006         9
WSN2006         10
ARI2005         8
ATL2005         9
BAL2005         9
BOS2005         9
CHC2005         9
CHW2005         9
CIN2005         8
CLE2005         8
COL2005         8
DET2005         9
FLA2005         7
HOU2005         8
KCR2005         9
LAA2005         10
LAD2005         9
MIL2005         9
MIN2005         9
NYM2005         9
NYY2005         10
OAK2005         10
PHI2005         9
PIT2005         9
SDP2005         9
SEA2005         9
SFG2005         9
STL2005         9
TBD2005         10
TEX2005         10
TOR2005         10
WSN2005         7
ANA2004         6
ARI2004         5
ATL2004         6
BAL2004         6
BOS2004         6
CHC2004         6
CHW2004         6
CIN2004         5
CLE2004         5
COL2004         5
DET2004         6
FLA2004         8
HOU2004         9
KCR2004         5
LAD2004         6
MIL2004         6
MIN2004         6
MON2004         3
NYM2004         6
NYY2004         7
OAK2004         7
PHI2004         6
PIT2004         6
SDP2004         6
SEA2004         6
SFG2004         6
STL2004         6
TBD2004         7
TEX2004         7
TOR2004         7
ANA2003         9
ARI2003         9
ATL2003         9
BAL2003         9
BOS2003         9
CHC2003         9
CHW2003         9
CIN2003         8
CLE2003         8
COL2003         8
DET2003         9
FLA2003         5
HOU2003         6
KCR2003         9
LAD2003         9
MIL2003         9
MIN2003         9
MON2003         9
NYM2003         9
NYY2003         10
OAK2003         10
PHI2003         9
PIT2003         9
SDP2003         9
SEA2003         9
SFG2003         9
STL2003         9
TBD2003         10
TEX2003         10
TOR2003         10
ANA2002         8
ARI2002         8
ATL2002         8
BAL2002         8
BOS2002         8
CHC2002         8
CHW2002         8
CIN2002         7
CLE2002         7
COL2002         7
DET2002         8
FLA2002         8
HOU2002         9
KCR2002         8
LAD2002         8
MIL2002         8
MIN2002         8
MON2002         8
NYM2002         8
NYY2002         9
OAK2002         9
PHI2002         8
PIT2002         8
SDP2002         8
SEA2002         8
SFG2002         8
STL2002         8
TBD2002         9
TEX2002         9
TOR2002         9
ANA2001         9
ARI2001         9
ATL2001         9
BAL2001         9
BOS2001         9
CHC2001         9
CHW2001         9
CIN2001         8
CLE2001         8
COL2001         8
DET2001         9
FLA2001         7
HOU2001         8
KCR2001         9
LAD2001         9
MIL2001         9
MIN2001         9
MON2001         9
NYM2001         9
NYY2001         10
OAK2001         10
PHI2001         9
PIT2001         9
SDP2001         9
SEA2001         9
SFG2001         9
STL2001         9
TBD2001         10
TEX2001         10
TOR2001         10
ANA2000         7
ARI2000         7
ATL2000         7
BAL2000         7
BOS2000         7
CHC2000         7
CHW2000         7
CIN2000         6
CLE2000         6
COL2000         6
DET2000         7
FLA2000         8
HOU2000         9
KCR2000         7
LAD2000         7
MIL2000         7
MIN2000         7
MON2000         7
NYM2000         7
NYY2000         8
OAK2000         8
PHI2000         7
PIT2000         7
SDP2000         7
SEA2000         7
SFG2000         7
STL2000         7
TBD2000         8
TEX2000         8
TOR2000         8
ANA1999         9
ARI1999         8
ATL1999         9
BAL1999         9
BOS1999         9
CHC1999         9
CHW1999         9
CIN1999         8
CLE1999         8
COL1999         8
DET1999         9
FLA1999         6
HOU1999         7
KCR1999         9
LAD1999         9
MIL1999         9
MIN1999         9
MON1999         9
NYM1999         9
NYY1999         10
OAK1999         10
PHI1999         9
PIT1999         9
SDP1999         9
SEA1999         9
SFG1999         9
STL1999         9
TBD1999         9
TEX1999         10
TOR1999         10
ANA1998         8
ARI1998         9
ATL1998         8
BAL1998         8
BOS1998         8
CHC1998         8
CHW1998         8
CIN1998         7
CLE1998         7
COL1998         7
DET1998         8
FLA1998         8
HOU1998         9
KCR1998         8
LAD1998         8
MIL1998         8
MIN1998         8
MON1998         8
NYM1998         8
NYY1998         9
OAK1998         9
PHI1998         8
PIT1998         8
SDP1998         8
SEA1998         8
SFG1998         8
STL1998         8
TBD1998         10
TEX1998         9
TOR1998         9
ANA1997         9
ATL1997         9
BAL1997         9
BOS1997         9
CHC1997         9
CHW1997         9
CIN1997         8
CLE1997         8
COL1997         9
DET1997         9
FLA1997         7
HOU1997         8
KCR1997         9
LAD1997         9
MIL1997         9
MIN1997         9
MON1997         9
NYM1997         9
NYY1997         10
OAK1997         10
PHI1997         9
PIT1997         9
SDP1997         9
SEA1997         9
SFG1997         9
STL1997         9
TEX1997         10
TOR1997         10
ATL1996         5
BAL1996         5
BOS1996         5
CAL1996         4
