Inserting Teams:
Team ID		Depth
ARI2012         0
ATL2012         1
BAL2012         2
BOS2012         3
CHC2012         4
CHW2012         5
CIN2012         6
CLE2012         7
COL2012         8
DET2012         9
HOU2012         10
KCR2012         11
LAA2012         12
LAD2012         13
MIA2012         14
MIL2012         15
MIN2012         16
NYM2012         17
NYY2012         18
OAK2012         19
PHI2012         20
PIT2012         21
SDP2012         22
SEA2012         23
SFG2012         24
STL2012         25
TBR2012         26
TEX2012         27
TOR2012         28
WSN2012         29
ARI2011         1
ATL2011         2
BAL2011         3
BOS2011         4
CHC2011         5
CHW2011         6
CIN2011         7
CLE2011         8
COL2011         9
DET2011         10
FLA2011         11
HOU2011         12
KCR2011         12
LAA2011         13
LAD2011         14
MIL2011         16
MIN2011         17
NYM2011         18
NYY2011         19
OAK2011         20
PHI2011         21
PIT2011         22
SDP2011         23
SEA2011         24
SFG2011         25
STL2011         26
TBR2011         27
TEX2011         28
TOR2011         29
WSN2011         30
ARI2010         2
ATL2010         3
BAL2010         4
BOS2010         5
CHC2010         6
CHW2010         7
CIN2010         8
CLE2010         9
COL2010         10
DET2010         11
FLA2010         12
HOU2010         13
KCR2010         13
LAA2010         14
LAD2010         15
MIL2010         17
MIN2010         18
NYM2010         19
NYY2010         20
OAK2010         21
PHI2010         22
PIT2010         23
SDP2010         24
SEA2010         25
SFG2010         26
STL2010         27
TBR2010         28
TEX2010         29
TOR2010         30
WSN2010         31
ARI2009         3
ATL2009         4
BAL2009         5
BOS2009         6
CHC2009         7
CHW2009         8
CIN2009         9
CLE2009         10
COL2009         11
DET2009         12
FLA2009         13
HOU2009         14
KCR2009         14
LAA2009         15
LAD2009         16
MIL2009         18
MIN2009         19
NYM2009         20
NYY2009         21
OAK2009         22
PHI2009         23
PIT2009         24
SDP2009         25
SEA2009         26
SFG2009         27
STL2009         28
TBR2009         29
TEX2009         30
TOR2009         31
WSN2009         32
ARI2008         4
ATL2008         5
BAL2008         6
BOS2008         7
CHC2008         8
CHW2008         9
CIN2008         10
CLE2008         11
COL2008         12
DET2008         13
FLA2008         14
HOU2008         15
KCR2008         15
LAA2008         16
LAD2008         17
MIL2008         19
MIN2008         20
NYM2008         21
NYY2008         22
OAK2008         23
PHI2008         24
PIT2008         25
SDP2008         26
SEA2008         27
SFG2008         28
STL2008         29
TBR2008         30
TEX2008         31
TOR2008         32
WSN2008         33
ARI2007         5
ATL2007         6
BAL2007         7
BOS2007         8
CHC2007         9
CHW2007         10
CIN2007         11
CLE2007         12
COL2007         13
DET2007         14
FLA2007         15
HOU2007         16
KCR2007         16
LAA2007         17
LAD2007         18
MIL2007         20
MIN2007         21
NYM2007         22
NYY2007         23
OAK2007         24
PHI2007         25
PIT2007         26
SDP2007         27
SEA2007         28
SFG2007         29
STL2007         30
TBD2007         31
TEX2007         32
TOR2007         33
WSN2007         34
ARI2006         6
ATL2006         7
BAL2006         8
BOS2006         9
CHC2006         10
CHW2006         11
CIN2006         12
CLE2006         13
COL2006         14
DET2006         15
FLA2006         16
HOU2006         17
KCR2006         17
LAA2006         18
LAD2006         19
MIL2006         21
MIN2006         22
NYM2006         23
NYY2006         24
OAK2006         25
PHI2006         26
PIT2006         27
SDP2006         28
SEA2006         29
SFG2006         30
STL2006         31
TBD2006         32
TEX2006         33
TOR2006         34
WSN2006         35
ARI2005         7
ATL2005         8
BAL2005         9
BOS2005         10
CHC2005         11
CHW2005         12
CIN2005         13
CLE2005         14
COL2005         15
DET2005         16
FLA2005         17
HOU2005         18
KCR2005         18
LAA2005         19
LAD2005         20
MIL2005         22
MIN2005         23
NYM2005         24
NYY2005         25
OAK2005         26
PHI2005         27
PIT2005         28
SDP2005         29
SEA2005         30
SFG2005         31
STL2005         32
TBD2005         33
TEX2005         34
TOR2005         35
WSN2005         36
ANA2004         8
ARI2004         9
ATL2004         9
BAL2004         10
BOS2004         11
CHC2004         12
CHW2004         13
CIN2004         14
CLE2004         15
COL2004         16
DET2004         17
FLA2004         18
HOU2004         19
KCR2004         19
LAD2004         21
MIL2004         23
MIN2004         24
MON2004         25
NYM2004         26
NYY2004         26
OAK2004         27
PHI2004         28
PIT2004         29
SDP2004         30
SEA2004         31
SFG2004         32
STL2004         33
TBD2004         34
TEX2004         35
TOR2004         36
ANA2003         9
ARI2003         10
ATL2003         10
BAL2003         11
BOS2003         12
CHC2003         13
CHW2003         14
CIN2003         15
CLE2003         16
COL2003         17
DET2003         18
FLA2003         19
HOU2003         20
KCR2003         20
LAD2003         22
MIL2003         24
MIN2003         25
MON2003         26
NYM2003         27
NYY2003         27
OAK2003         28
PHI2003         29
PIT2003         30
SDP2003         31
SEA2003         32
SFG2003         33
STL2003         34
TBD2003         35
TEX2003         36
TOR2003         37
ANA2002         10
ARI2002         11
ATL2002         11
BAL2002         12
BOS2002         13
CHC2002         14
CHW2002         15
CIN2002         16
CLE2002         17
COL2002         18
DET2002         19
FLA2002         20
HOU2002         21
KCR2002         21
LAD2002         23
MIL2002         25
MIN2002         26
MON2002         27
NYM2002         28
NYY2002         28
OAK2002         29
PHI2002         30
PIT2002         31
SDP2002         32
SEA2002         33
SFG2002         34
STL2002         35
TBD2002         36
TEX2002         37
TOR2002         38
ANA2001         11
ARI2001         12
ATL2001         12
BAL2001         13
BOS2001         14
CHC2001         15
CHW2001         16
CIN2001         17
CLE2001         18
COL2001         19
DET2001         20
FLA2001         21
HOU2001         22
KCR2001         22
LAD2001         24
MIL2001         26
MIN2001         27
MON2001         28
NYM2001         29
NYY2001         29
OAK2001         30
PHI2001         31
PIT2001         32
SDP2001         33
SEA2001         34
SFG2001         35
STL2001         36
TBD2001         37
TEX2001         38
TOR2001         39
ANA2000         12
ARI2000         13
ATL2000         13
BAL2000         14
BOS2000         15
CHC2000         16
CHW2000         17
CIN2000         18
CLE2000         19
COL2000         20
DET2000         21
FLA2000         22
HOU2000         23
KCR2000         23
LAD2000         25
MIL2000         27
MIN2000         28
MON2000         29
NYM2000         30
NYY2000         30
OAK2000         31
PHI2000         32
PIT2000         33
SDP2000         34
SEA2000         35
SFG2000         36
STL2000         37
TBD2000         38
TEX2000         39
TOR2000         40
ANA1999         13
ARI1999         14
ATL1999         14
BAL1999         15
BOS1999         16
CHC1999         17
CHW1999         18
CIN1999         19
CLE1999         20
COL1999         21
DET1999         22
FLA1999         23
HOU1999         24
KCR1999         24
LAD1999         26
MIL1999         28
MIN1999         29
MON1999         30
NYM1999         31
NYY1999         31
OAK1999         32
PHI1999         33
PIT1999         34
SDP1999         35
SEA1999         36
SFG1999         37
STL1999         38
TBD1999         39
TEX1999         40
TOR1999         41
ANA1998         14
ARI1998         15
ATL1998         15
BAL1998         16
BOS1998         17
CHC1998         18
CHW1998         19
CIN1998         20
CLE1998         21
COL1998         22
DET1998         23
FLA1998         24
HOU1998         25
KCR1998         25
LAD1998         27
MIL1998         29
MIN1998         30
MON1998         31
NYM1998         32
NYY1998         32
OAK1998         33
PHI1998         34
PIT1998         35
SDP1998         36
SEA1998         37
SFG1998         38
STL1998         39
TBD1998         40
TEX1998         41
TOR1998         42
ANA1997         15
ATL1997         16
BAL1997         17
BOS1997         18
CHC1997         19
CHW1997         20
CIN1997         21
CLE1997         22
COL1997         23
DET1997         24
FLA1997         25
HOU1997         26
KCR1997         26
LAD1997         28
MIL1997         30
MIN1997         31
MON1997         32
NYM1997         33
NYY1997         33
OAK1997         34
PHI1997         35
PIT1997         36
SDP1997         37
SEA1997         38
SFG1997         39
STL1997         40
TEX1997         42
TOR1997         43
ATL1996         17
BAL1996         18
BOS1996         19
CAL1996         20
CHC1996         21
CHW1996         21
CIN1996         22
CLE1996         23
COL1996         24
DET1996         25
FLA1996         26
HOU1996         27
KCR1996         27
LAD1996         29
MIL1996         31
MIN1996         32
MON1996         33
NYM1996         34
NYY1996         34
OAK1996         35
PHI1996         36
PIT1996         37
SDP1996         38
SEA1996         39
SFG1996         40
STL1996         41
TEX1996         43
TOR1996         44
ATL1993         18
BAL1993         19
BOS1993         20
CAL1993         21
CHC1993         22
CHW1993         22
CIN1993         23
CLE1993         24
COL1993         25
DET1993         26
FLA1993         27
HOU1993         28
KCR1993         28
LAD1993         30
MIL1993         32
MIN1993         33
MON1993         34
NYM1993         35
NYY1993         35
OAK1993         36
PHI1993         37
PIT1993         38
SDP1993         39
SEA1993         40
SFG1993         41
STL1993         42
TEX1993         44
TOR1993         45
ATL1992         19
BAL1992         20
BOS1992         21
CAL1992         22
CHC1992         23
CHW1992         23
CIN1992         24
CLE1992         25
