Inserting Teams:
Team ID		Depth
ARI2012         22
ATL2012         12
BAL2012         9
BOS2012         11
CHC2012         6
CHW2012         5
CIN2012         5
CLE2012         34
COL2012         2
DET2012         38
HOU2012         5
KCR2012         10
LAA2012         4
LAD2012         50
MIA2012         5
MIL2012         3
MIN2012         4
NYM2012         5
NYY2012         13
OAK2012         3
PHI2012         5
PIT2012         12
SDP2012         15
SEA2012         3
SFG2012         5
STL2012         36
TBR2012         4
TEX2012         11
TOR2012         3
WSN2012         18
ARI2011         49
ATL2011         61
BAL2011         56
BOS2011         52
CHC2011         51
CHW2011         50
CIN2011         50
CLE2011         35
COL2011         18
DET2011         36
FLA2011         5
HOU2011         40
KCR2011         14
LAA2011         12
LAD2011         26
MIL2011         45
MIN2011         41
NYM2011         48
NYY2011         45
OAK2011         40
PHI2011         44
PIT2011         44
SDP2011         40
SEA2011         33
SFG2011         46
STL2011         32
TBR2011         15
TEX2011         36
TOR2011         11
WSN2011         11
ARI2010         42
ATL2010         41
BAL2010         33
BOS2010         29
CHC2010         27
CHW2010         29
CIN2010         28
CLE2010         20
COL2010         11
DET2010         21
FLA2010         20
HOU2010         22
KCR2010         11
LAA2010         9
LAD2010         17
MIL2010         23
MIN2010         22
NYM2010         25
NYY2010         26
OAK2010         22
PHI2010         24
PIT2010         23
SDP2010         21
SEA2010         19
SFG2010         25
STL2010         18
TBR2010         10
TEX2010         20
TOR2010         7
WSN2010         8
ARI2009         39
ATL2009         32
BAL2009         24
BOS2009         19
CHC2009         19
CHW2009         17
CIN2009         17
CLE2009         12
COL2009         9
DET2009         13
FLA2009         12
HOU2009         13
KCR2009         11
LAA2009         7
LAD2009         11
MIL2009         13
MIN2009         16
NYM2009         16
NYY2009         16
OAK2009         14
PHI2009         15
PIT2009         14
SDP2009         15
SEA2009         13
SFG2009         15
STL2009         13
TBR2009         8
TEX2009         14
TOR2009         8
WSN2009         6
ARI2008         33
ATL2008         24
BAL2008         17
BOS2008         12
CHC2008         13
CHW2008         11
CIN2008         11
CLE2008         7
COL2008         7
DET2008         9
FLA2008         10
HOU2008         8
KCR2008         9
LAA2008         8
LAD2008         12
MIL2008         9
MIN2008         11
NYM2008         11
NYY2008         11
OAK2008         11
PHI2008         10
PIT2008         8
SDP2008         10
SEA2008         8
SFG2008         12
STL2008         7
TBR2008         7
TEX2008         9
TOR2008         6
WSN2008         7
ARI2007         35
ATL2007         24
BAL2007         17
BOS2007         12
